JobName,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19
Job_07214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.031758805,-0.276050043,3.796953664,0.006853424
Job_07215,0.021624769,38.45757239,149.3971393,110.9395669,7638.021952,-7.941426309,102.9981406,-0.00160984,95.35772747,-11.44315382,99.49641313,-14.35143,96.58813695,0.050003258,11.44315382,3.148501829,-0.143785852,3.797219432,0.007392545
Job_07216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.193431715,-0.221640475,3.799693473,0.006001663
Job_07217,0.034852799,22.71395597,128.5762226,105.8622666,6861.100253,-43.275683,62.5865836,0.001001457,95.17533557,-9.248191068,96.61407554,-43.38129011,62.4809765,0.050003082,9.248191068,3.21365587,-0.167653369,3.799346259,0.005532997
Job_07218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.194637993,-0.23844239,3.797989462,0.006493563
Job_07219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.193113178,-0.069251608,3.798958481,0.00503144
Job_07220,0.01366222,8.617344759,118.9049048,110.2875601,4476.579955,-28.33402624,81.95353384,0.000877245,95.87513265,-8.215570072,102.07199,-27.66024941,82.62731067,0.05000363,8.215570072,3.149415837,-0.222608446,3.799318442,0.005340248
Job_07221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.119192928,-0.176558403,3.799197783,0.005153747
Job_07222,0.014329104,14.39016138,128.9033194,114.513158,7636.574997,-1.330270666,113.1828874,0.005895156,94.83609305,-6.104761637,108.4083964,26.15503883,140.6681969,0.050002987,6.104761637,3.027370755,-0.310043009,3.799088246,0.005031138
Job_07223,0.012325044,-2.489843983,111.4760609,113.9659049,6166.950898,-20.99313232,92.97277258,-0.009828269,95.35705998,-9.897505586,104.0683993,-17.78666541,96.17923949,0.05000337,9.897505586,3.024959511,-0.190383016,3.799915216,0.005897281
